$\tau_{dwell}$ (s),$k_{exo}^{0}$ (Events/s),"$B^*,U^*/A_{spine}$",-
20,0.008904998189962635,"10,5.6",Basic Model
20,0.009527648020841505,"10,5.6",Basic Model
20,0.009442789793024682,"10,5.6",Basic Model
20,0.007583325836522972,"10,5.6",Basic Model
20,0.00981586059455925,"10,5.6",Basic Model
20,0.008492809406434999,"10,5.6",Basic Model
20,0.008729364081365916,"10,5.6",Basic Model
20,0.007196989134941136,"10,5.6",Basic Model
20,0.008228247737889095,"10,5.6",Basic Model
20,0.008630791078725776,"10,5.6",Basic Model
50,0.003908742305339812,"10,5.6",Basic Model
50,0.004807026005095926,"10,5.6",Basic Model
50,0.0034568789316566473,"10,5.6",Basic Model
50,0.005052093476273523,"10,5.6",Basic Model
50,0.002522319332281017,"10,5.6",Basic Model
50,0.004833347226986365,"10,5.6",Basic Model
50,0.003963212101666528,"10,5.6",Basic Model
50,0.00430405341893872,"10,5.6",Basic Model
50,0.004599738853621371,"10,5.6",Basic Model
50,0.004855750864995974,"10,5.6",Basic Model
100,0.0025355543925409275,"10,5.6",Basic Model
100,0.002822059641518562,"10,5.6",Basic Model
100,0.0022947375720034093,"10,5.6",Basic Model
100,0.0030259717521801343,"10,5.6",Basic Model
100,0.002550303527360839,"10,5.6",Basic Model
100,0.0017012021597692007,"10,5.6",Basic Model
100,0.0020611993440829814,"10,5.6",Basic Model
100,0.0024258673086588155,"10,5.6",Basic Model
100,0.002092669605963505,"10,5.6",Basic Model
100,0.0023941493212334152,"10,5.6",Basic Model
20,0.008015684977041472,"20,11.1",Basic Model
20,0.009139088738708915,"20,11.1",Basic Model
20,0.009312779909417734,"20,11.1",Basic Model
20,0.00973439370073298,"20,11.1",Basic Model
20,0.007561669333152419,"20,11.1",Basic Model
20,0.006750937501373118,"20,11.1",Basic Model
20,0.00946414431654116,"20,11.1",Basic Model
20,0.009394767019065397,"20,11.1",Basic Model
20,0.008406169133749834,"20,11.1",Basic Model
20,0.009692618253919528,"20,11.1",Basic Model
50,0.0069308911628813575,"20,11.1",Basic Model
50,0.008895780850501833,"20,11.1",Basic Model
50,0.009086366016788722,"20,11.1",Basic Model
50,0.009417971680553274,"20,11.1",Basic Model
50,0.00906845944508219,"20,11.1",Basic Model
50,0.009531650638358598,"20,11.1",Basic Model
50,0.00852261612449546,"20,11.1",Basic Model
50,0.006731750012560979,"20,11.1",Basic Model
50,0.009185542385869898,"20,11.1",Basic Model
50,0.009570454787168654,"20,11.1",Basic Model
100,0.005016684414834454,"20,11.1",Basic Model
100,0.0049078354299833095,"20,11.1",Basic Model
100,0.006306603737583516,"20,11.1",Basic Model
100,0.005052705793320527,"20,11.1",Basic Model
100,0.005401032620534643,"20,11.1",Basic Model
100,0.004384166768977532,"20,11.1",Basic Model
100,0.004325760838137211,"20,11.1",Basic Model
100,0.005488523712213486,"20,11.1",Basic Model
100,0.006276609396538755,"20,11.1",Basic Model
100,0.005199355977231487,"20,11.1",Basic Model
20,0.00951744041408686,"40,22.3",Basic Model
20,0.00886045297284247,"40,22.3",Basic Model
20,0.007948998724005929,"40,22.3",Basic Model
20,0.00928544679271753,"40,22.3",Basic Model
20,0.006782664358390839,"40,22.3",Basic Model
20,0.009450561054376862,"40,22.3",Basic Model
20,0.008117821509289101,"40,22.3",Basic Model
20,0.008624151141265577,"40,22.3",Basic Model
20,0.009441210035624837,"40,22.3",Basic Model
20,0.00924400664379752,"40,22.3",Basic Model
50,0.00817713316887902,"40,22.3",Basic Model
50,0.009676029224748046,"40,22.3",Basic Model
50,0.00609357578358697,"40,22.3",Basic Model
50,0.008574014408590253,"40,22.3",Basic Model
50,0.00830193088162808,"40,22.3",Basic Model
50,0.009040764053865216,"40,22.3",Basic Model
50,0.009769803371558887,"40,22.3",Basic Model
50,0.00885525456016743,"40,22.3",Basic Model
50,0.006858919431573053,"40,22.3",Basic Model
50,0.007864774404857255,"40,22.3",Basic Model
100,0.00895591005512301,"40,22.3",Basic Model
100,0.008180371135658329,"40,22.3",Basic Model
100,0.008217810229978745,"40,22.3",Basic Model
100,0.00890395842807264,"40,22.3",Basic Model
100,0.00866508400214778,"40,22.3",Basic Model
100,0.009591112962345669,"40,22.3",Basic Model
100,0.00936342163996305,"40,22.3",Basic Model
100,0.00885812802251636,"40,22.3",Basic Model
100,0.00956417943001385,"40,22.3",Basic Model
100,0.008357082601154033,"40,22.3",Basic Model
20,0.006708293841762862,"10,5.6",sLTP Model
20,0.008738659694003456,"10,5.6",sLTP Model
20,0.009920896710127042,"10,5.6",sLTP Model
20,0.00998328098453507,"10,5.6",sLTP Model
20,0.008138455133656259,"10,5.6",sLTP Model
20,0.008635660680320628,"10,5.6",sLTP Model
20,0.009909522113175074,"10,5.6",sLTP Model
20,0.008506631894858544,"10,5.6",sLTP Model
20,0.009000680206648666,"10,5.6",sLTP Model
20,0.009121773635523567,"10,5.6",sLTP Model
50,0.004496066430154838,"10,5.6",sLTP Model
50,0.0047056016726789085,"10,5.6",sLTP Model
50,0.003976599463730871,"10,5.6",sLTP Model
50,0.004379496158205798,"10,5.6",sLTP Model
50,0.004436814960890493,"10,5.6",sLTP Model
50,0.0031475221319199223,"10,5.6",sLTP Model
50,0.004451490880601539,"10,5.6",sLTP Model
50,0.003086301694680422,"10,5.6",sLTP Model
50,0.004721425687515084,"10,5.6",sLTP Model
50,0.005498081523900721,"10,5.6",sLTP Model
100,0.002160293261185373,"10,5.6",sLTP Model
100,0.003238219905240942,"10,5.6",sLTP Model
100,0.0027902331195943466,"10,5.6",sLTP Model
100,0.0023901486629413337,"10,5.6",sLTP Model
100,0.003269768296114396,"10,5.6",sLTP Model
100,0.0019119044992799606,"10,5.6",sLTP Model
100,0.0024106068369275156,"10,5.6",sLTP Model
100,0.0027097709051175267,"10,5.6",sLTP Model
100,0.0030770864636690634,"10,5.6",sLTP Model
100,0.003755796726318783,"10,5.6",sLTP Model
20,0.00819104679175077,"20,11.1",sLTP Model
20,0.005546386553168894,"20,11.1",sLTP Model
20,0.006103191378119436,"20,11.1",sLTP Model
20,0.009322411790002226,"20,11.1",sLTP Model
20,0.008203392520836676,"20,11.1",sLTP Model
20,0.007945923501426677,"20,11.1",sLTP Model
20,0.008497835384088815,"20,11.1",sLTP Model
20,0.009599482132086256,"20,11.1",sLTP Model
20,0.009867188338826773,"20,11.1",sLTP Model
20,0.0079028647055315,"20,11.1",sLTP Model
50,0.009461572357872467,"20,11.1",sLTP Model
50,0.008865774371465393,"20,11.1",sLTP Model
50,0.009484741467269176,"20,11.1",sLTP Model
50,0.006723067441944936,"20,11.1",sLTP Model
50,0.007325281340713526,"20,11.1",sLTP Model
50,0.008205319967386462,"20,11.1",sLTP Model
50,0.008125925347586509,"20,11.1",sLTP Model
50,0.005749653842152342,"20,11.1",sLTP Model
50,0.008760612794021128,"20,11.1",sLTP Model
50,0.009460961356459213,"20,11.1",sLTP Model
100,0.0033476096997487105,"20,11.1",sLTP Model
100,0.0035473013408693233,"20,11.1",sLTP Model
100,0.005904689443600583,"20,11.1",sLTP Model
100,0.004136927209773371,"20,11.1",sLTP Model
100,0.006316385603885506,"20,11.1",sLTP Model
100,0.004525175582629913,"20,11.1",sLTP Model
100,0.0025696557257791973,"20,11.1",sLTP Model
100,0.005461935766921185,"20,11.1",sLTP Model
100,0.0055172072603789195,"20,11.1",sLTP Model
100,0.005723570948102872,"20,11.1",sLTP Model
20,0.006628711641279055,"40,22.3",sLTP Model
20,0.0045265483914634355,"40,22.3",sLTP Model
20,0.009604360953321577,"40,22.3",sLTP Model
20,0.009738956073619296,"40,22.3",sLTP Model
20,0.007562512815594098,"40,22.3",sLTP Model
20,0.003359326104605055,"40,22.3",sLTP Model
20,0.007899595084643276,"40,22.3",sLTP Model
20,0.008748164299441372,"40,22.3",sLTP Model
20,0.008793668825717192,"40,22.3",sLTP Model
20,0.009602309421756753,"40,22.3",sLTP Model
50,0.008856592849414445,"40,22.3",sLTP Model
50,0.0072825394820351975,"40,22.3",sLTP Model
50,0.007148501173213747,"40,22.3",sLTP Model
50,0.009065519091207773,"40,22.3",sLTP Model
50,0.00991534999800203,"40,22.3",sLTP Model
50,0.007026443342820515,"40,22.3",sLTP Model
50,0.008626355431236684,"40,22.3",sLTP Model
50,0.009715884580425597,"40,22.3",sLTP Model
50,0.00947166803681267,"40,22.3",sLTP Model
50,0.008416787914746026,"40,22.3",sLTP Model
100,0.008794267694148532,"40,22.3",sLTP Model
100,0.008341865039971622,"40,22.3",sLTP Model
100,0.007033769385062461,"40,22.3",sLTP Model
100,0.00853164100691041,"40,22.3",sLTP Model
100,0.007868929474859286,"40,22.3",sLTP Model
100,0.006366375827608054,"40,22.3",sLTP Model
100,0.009546796328402253,"40,22.3",sLTP Model
100,0.009688943004790456,"40,22.3",sLTP Model
100,0.009132958912687427,"40,22.3",sLTP Model
100,0.008210264736767128,"40,22.3",sLTP Model
20,0.0033288833607463143,"10,5.6",Cooperative Model
20,0.0019089818778847269,"10,5.6",Cooperative Model
20,0.0019677479356636765,"10,5.6",Cooperative Model
20,0.0018936361873487684,"10,5.6",Cooperative Model
20,0.002473756918082437,"10,5.6",Cooperative Model
20,0.0035013631120049196,"10,5.6",Cooperative Model
20,0.0036271202492973577,"10,5.6",Cooperative Model
20,0.0027805084976174834,"10,5.6",Cooperative Model
20,0.0026381985140581377,"10,5.6",Cooperative Model
20,0.003107141174163882,"10,5.6",Cooperative Model
50,0.0008111611847342904,"10,5.6",Cooperative Model
50,0.000688387714930363,"10,5.6",Cooperative Model
50,0.0015807215348624837,"10,5.6",Cooperative Model
50,0.0005825709504561915,"10,5.6",Cooperative Model
50,0.0008836296961446155,"10,5.6",Cooperative Model
50,0.0011977301002763497,"10,5.6",Cooperative Model
50,0.0015994532875017531,"10,5.6",Cooperative Model
50,0.0022270443994213186,"10,5.6",Cooperative Model
50,0.0009279308273069997,"10,5.6",Cooperative Model
50,0.0007194959910376741,"10,5.6",Cooperative Model
100,0.00040927689224036555,"10,5.6",Cooperative Model
100,0.0003645010456336939,"10,5.6",Cooperative Model
100,0.00034573144860535756,"10,5.6",Cooperative Model
100,0.0004901152867110226,"10,5.6",Cooperative Model
100,0.0006502965621943424,"10,5.6",Cooperative Model
100,0.0004293243285399906,"10,5.6",Cooperative Model
100,0.0008049798909985429,"10,5.6",Cooperative Model
100,0.0005173664923908105,"10,5.6",Cooperative Model
100,0.000326820382148596,"10,5.6",Cooperative Model
100,0.0004395081585218963,"10,5.6",Cooperative Model
20,0.0024672618440613535,"20,11.1",Cooperative Model
20,0.005176200617989942,"20,11.1",Cooperative Model
20,0.004609351513538076,"20,11.1",Cooperative Model
20,0.005576326196951048,"20,11.1",Cooperative Model
20,0.004809686579532845,"20,11.1",Cooperative Model
20,0.002651385017994158,"20,11.1",Cooperative Model
20,0.0035235052134724577,"20,11.1",Cooperative Model
20,0.004829193239996856,"20,11.1",Cooperative Model
20,0.003189909713457041,"20,11.1",Cooperative Model
20,0.005231169940961097,"20,11.1",Cooperative Model
50,0.0009943298793813238,"20,11.1",Cooperative Model
50,0.0018960103045943233,"20,11.1",Cooperative Model
50,0.001510334999297368,"20,11.1",Cooperative Model
50,0.0021858286888244505,"20,11.1",Cooperative Model
