$\tau_{dwell}$ (s),$k_{exo}^{A}$ (Events/s),"$B^*,U^*/A_{spine}$",-
20,0.06363152983505589,"10,5.6",Basic Model
20,0.0555446082867378,"10,5.6",Basic Model
20,0.06744575904518375,"10,5.6",Basic Model
20,0.07112819791674338,"10,5.6",Basic Model
20,0.10109597131676591,"10,5.6",Basic Model
20,0.07179797071258143,"10,5.6",Basic Model
20,0.06783638563319892,"10,5.6",Basic Model
20,0.07072948781036023,"10,5.6",Basic Model
20,0.10175244035229765,"10,5.6",Basic Model
20,0.044914384902388325,"10,5.6",Basic Model
50,0.031687943866373615,"10,5.6",Basic Model
50,0.025316328527329096,"10,5.6",Basic Model
50,0.0274485679445062,"10,5.6",Basic Model
50,0.025424964496171872,"10,5.6",Basic Model
50,0.026850107197436635,"10,5.6",Basic Model
50,0.04574448790556013,"10,5.6",Basic Model
50,0.03533481900832859,"10,5.6",Basic Model
50,0.02527154471640274,"10,5.6",Basic Model
50,0.03421451688041147,"10,5.6",Basic Model
50,0.04856064849976382,"10,5.6",Basic Model
100,0.013239652258281137,"10,5.6",Basic Model
100,0.01176586407790301,"10,5.6",Basic Model
100,0.01570821039982561,"10,5.6",Basic Model
100,0.014282053562797067,"10,5.6",Basic Model
100,0.01489118253387218,"10,5.6",Basic Model
100,0.015852732373734777,"10,5.6",Basic Model
100,0.013856500604861419,"10,5.6",Basic Model
100,0.024744206716041432,"10,5.6",Basic Model
100,0.01584284872757955,"10,5.6",Basic Model
100,0.020230985545886048,"10,5.6",Basic Model
20,0.11226045317338056,"20,11.1",Basic Model
20,0.11417242571703984,"20,11.1",Basic Model
20,0.11770822277050241,"20,11.1",Basic Model
20,0.11098364924719833,"20,11.1",Basic Model
20,0.09983564829447097,"20,11.1",Basic Model
20,0.10496161383412154,"20,11.1",Basic Model
20,0.12094087936540555,"20,11.1",Basic Model
20,0.08677458075928929,"20,11.1",Basic Model
20,0.12173079045946059,"20,11.1",Basic Model
20,0.11565083630255854,"20,11.1",Basic Model
50,0.05145076445222984,"20,11.1",Basic Model
50,0.08047558696245612,"20,11.1",Basic Model
50,0.04703695848435256,"20,11.1",Basic Model
50,0.061766893866773316,"20,11.1",Basic Model
50,0.05644171969963313,"20,11.1",Basic Model
50,0.05423672252949874,"20,11.1",Basic Model
50,0.04690850548477863,"20,11.1",Basic Model
50,0.05867659906683261,"20,11.1",Basic Model
50,0.07844022682500726,"20,11.1",Basic Model
50,0.043670598105308475,"20,11.1",Basic Model
100,0.025108363235841695,"20,11.1",Basic Model
100,0.04011624943268113,"20,11.1",Basic Model
100,0.03662008855328663,"20,11.1",Basic Model
100,0.030703648817687147,"20,11.1",Basic Model
100,0.027591880404186198,"20,11.1",Basic Model
100,0.04180306615660345,"20,11.1",Basic Model
100,0.030213971679181027,"20,11.1",Basic Model
100,0.03877129408355485,"20,11.1",Basic Model
100,0.03498062476081302,"20,11.1",Basic Model
100,0.029785108228561657,"20,11.1",Basic Model
20,0.174628134438769,"40,22.3",Basic Model
20,0.17921769998900783,"40,22.3",Basic Model
20,0.16419338550320808,"40,22.3",Basic Model
20,0.14879403090101528,"40,22.3",Basic Model
20,0.13107263188414606,"40,22.3",Basic Model
20,0.17797612786129377,"40,22.3",Basic Model
20,0.14668277255302767,"40,22.3",Basic Model
20,0.14516200453257166,"40,22.3",Basic Model
20,0.14642277807573598,"40,22.3",Basic Model
20,0.12373216867832881,"40,22.3",Basic Model
50,0.08715106995928046,"40,22.3",Basic Model
50,0.10326471340977227,"40,22.3",Basic Model
50,0.09897403705808881,"40,22.3",Basic Model
50,0.11988070367384138,"40,22.3",Basic Model
50,0.09936541498519977,"40,22.3",Basic Model
50,0.08094738053475593,"40,22.3",Basic Model
50,0.09533623533146725,"40,22.3",Basic Model
50,0.08182878498145012,"40,22.3",Basic Model
50,0.09957195239850772,"40,22.3",Basic Model
50,0.0803449814740132,"40,22.3",Basic Model
100,0.056766015235006115,"40,22.3",Basic Model
100,0.08360340623541854,"40,22.3",Basic Model
100,0.05344112275979665,"40,22.3",Basic Model
100,0.043853368729740445,"40,22.3",Basic Model
100,0.05138384341641487,"40,22.3",Basic Model
100,0.06935466792771762,"40,22.3",Basic Model
100,0.0766102212789748,"40,22.3",Basic Model
100,0.05945140143254244,"40,22.3",Basic Model
100,0.05434135070321093,"40,22.3",Basic Model
100,0.08245406804707549,"40,22.3",Basic Model
20,0.026986898378738987,"10,5.6",sLTP Model
20,0.020289558478793046,"10,5.6",sLTP Model
20,0.03190699418449234,"10,5.6",sLTP Model
20,0.030655206781955713,"10,5.6",sLTP Model
20,0.022188577595003128,"10,5.6",sLTP Model
20,0.035031443744979844,"10,5.6",sLTP Model
20,0.04816950557100163,"10,5.6",sLTP Model
20,0.03127580757442362,"10,5.6",sLTP Model
